,neighbourhood_cleansed,accommodates,property_type,room_type,bathrooms,bedrooms,beds,price,guests_included,extra_people,security_deposit,availability_365,cancellation_policy,new_Hairdryer,new_Kitchen,new_Laptopfriendlyworkspace,new_Indoorfireplace,new_Hottub,new_baby_friendly,new_Iron,new_TV,new_family
0,Oostelijk Havengebied - Indische Buurt,2,Apartment,Private room,2.0,1.0,2.0,59,1,20,1,44,strict,1,0,1,0,0,0,1,0,0
1,Westerpark,5,Apartment,Entire home/apt,1.0,2.0,2.0,160,2,15,1,47,moderate,1,1,1,0,0,0,1,0,1
2,Centrum-Oost,2,Townhouse,Entire home/apt,1.0,1.0,1.0,80,2,0,0,198,strict,1,0,1,0,0,0,0,1,0
3,Centrum-West,3,Apartment,Entire home/apt,1.0,1.0,1.0,125,2,10,1,141,strict,1,1,1,1,0,0,1,1,1
4,Centrum-West,2,Houseboat,Private room,1.0,1.0,1.0,150,1,0,0,199,strict,1,0,1,0,0,0,0,1,0
5,Bos en Lommer,2,Apartment,Private room,1.0,1.0,2.0,65,2,0,1,295,moderate,1,0,1,0,0,0,1,1,0
6,Centrum-West,2,Apartment,Private room,1.0,1.0,1.0,75,1,0,0,137,moderate,1,0,0,0,0,0,0,1,0
7,Centrum-West,1,Apartment,Private room,1.0,1.0,1.0,55,1,0,0,188,moderate,1,0,0,0,0,0,0,1,0
9,Centrum-West,2,Apartment,Entire home/apt,0.0,1.0,1.0,180,2,75,1,11,moderate,1,1,1,0,0,0,1,1,0
10,Centrum-West,2,Bed and breakfast,Private room,1.0,1.0,1.0,159,1,0,1,89,strict,1,0,1,0,0,1,1,1,1
11,Zuid,2,Apartment,Entire home/apt,1.0,1.0,2.0,100,4,0,1,10,strict,1,1,1,0,1,1,1,1,0
14,Westerpark,2,Apartment,Entire home/apt,1.0,1.0,1.0,155,2,20,0,253,strict,1,1,0,0,0,0,0,0,0
15,De Pijp - Rivierenbuurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,150,2,50,1,0,flexible,0,1,0,0,0,0,0,1,0
16,De Baarsjes - Oud-West,3,Apartment,Entire home/apt,1.0,2.0,2.0,140,2,25,1,0,flexible,1,1,1,0,0,1,0,1,1
19,Bos en Lommer,6,Townhouse,Entire home/apt,1.0,3.0,3.0,120,4,45,1,79,moderate,0,1,1,0,0,0,1,1,1
20,Westerpark,2,Apartment,Entire home/apt,1.0,1.0,1.0,125,2,50,0,0,strict,1,1,0,0,0,0,1,1,0
21,Centrum-West,2,Bed and breakfast,Private room,1.0,1.0,2.0,115,1,0,0,206,moderate,1,0,0,0,0,0,0,1,1
22,Bos en Lommer,3,Apartment,Entire home/apt,1.0,1.0,3.0,90,3,25,0,19,strict,1,1,1,0,0,0,1,1,0
23,Oostelijk Havengebied - Indische Buurt,2,Apartment,Private room,2.0,1.0,1.0,72,1,0,0,11,strict,1,1,0,0,0,0,0,1,0
24,De Pijp - Rivierenbuurt,2,Guest suite,Private room,1.0,1.0,1.0,87,2,0,0,2,moderate,1,0,1,0,0,0,1,0,0
25,Westerpark,2,Guest suite,Private room,1.0,1.0,1.0,75,1,0,1,289,flexible,1,0,1,0,0,0,1,0,1
26,De Pijp - Rivierenbuurt,4,Guest suite,Private room,1.0,1.0,3.0,60,3,25,0,47,moderate,1,1,0,0,0,0,0,1,1
27,Centrum-Oost,2,Apartment,Private room,1.0,1.0,1.0,86,1,20,0,129,flexible,1,1,0,0,0,0,1,0,0
29,Centrum-Oost,3,Loft,Entire home/apt,1.0,1.0,1.0,159,2,35,0,32,strict,1,1,1,0,0,0,1,1,0
30,De Baarsjes - Oud-West,2,Apartment,Private room,1.0,1.0,1.0,60,1,0,0,122,strict,1,1,0,0,0,0,1,1,1
31,Zuid,4,Apartment,Entire home/apt,2.0,2.0,4.0,149,2,20,1,107,strict,1,1,1,0,1,0,1,0,1
32,Centrum-West,4,Apartment,Entire home/apt,1.0,2.0,4.0,112,1,10,1,277,strict,1,1,1,0,0,0,1,1,1
33,Oostelijk Havengebied - Indische Buurt,4,Apartment,Entire home/apt,1.0,2.0,2.0,100,2,10,0,5,strict,1,1,1,0,0,1,1,1,1
34,De Baarsjes - Oud-West,3,Apartment,Entire home/apt,1.0,1.0,3.0,125,2,30,0,315,moderate,1,1,1,0,0,0,1,1,0
36,Oud-Oost,2,Apartment,Entire home/apt,1.0,1.0,1.0,109,1,0,1,30,strict,1,1,1,0,0,0,1,1,0
38,De Baarsjes - Oud-West,2,Boat,Entire home/apt,2.0,1.0,1.0,145,1,0,1,0,moderate,0,1,0,1,0,0,0,1,0
40,Centrum-West,4,Apartment,Entire home/apt,1.0,1.0,3.0,179,2,60,1,358,strict,1,1,0,0,0,1,1,1,0
41,De Pijp - Rivierenbuurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,100,1,0,0,29,moderate,1,1,1,0,0,0,1,1,0
42,Centrum-West,2,Other,Private room,2.0,1.0,2.0,109,1,20,1,158,strict,1,1,1,0,0,0,1,0,0
43,Centrum-West,2,Other,Private room,2.0,1.0,2.0,109,1,20,1,163,strict,1,1,0,0,0,0,1,0,0
44,Centrum-West,3,Bed and breakfast,Private room,1.0,1.0,2.0,116,2,10,1,7,strict,1,1,1,0,0,1,1,1,1
46,Centrum-West,2,Houseboat,Entire home/apt,1.0,1.0,2.0,175,1,0,0,320,strict,1,1,1,0,0,0,1,1,0
48,Oud-Oost,3,Apartment,Private room,1.0,1.0,1.0,105,2,20,1,84,strict,1,1,1,0,0,0,1,1,1
49,Oud-Oost,2,Apartment,Private room,1.0,1.0,1.0,70,1,0,0,47,strict,1,0,1,0,0,0,1,1,0
50,Westerpark,4,Bed and breakfast,Private room,1.0,2.0,2.0,135,2,35,0,237,moderate,1,1,1,0,0,1,1,0,1
51,Centrum-West,4,House,Private room,1.0,1.0,4.0,180,3,45,0,28,moderate,0,1,0,0,0,0,0,1,1
52,Centrum-West,1,Other,Private room,1.0,1.0,1.0,115,1,15,0,29,moderate,1,1,1,0,0,0,1,0,0
53,Centrum-West,4,Other,Entire home/apt,1.0,1.0,2.0,95,2,25,0,191,strict,1,1,1,0,0,1,0,0,1
55,Centrum-West,1,Apartment,Private room,1.0,1.0,1.0,45,1,0,0,161,moderate,1,0,0,0,0,0,0,1,0
56,De Baarsjes - Oud-West,2,Bed and breakfast,Private room,1.0,1.0,1.0,100,1,19,1,344,strict,1,1,1,0,0,0,1,1,0
57,De Pijp - Rivierenbuurt,4,Boat,Entire home/apt,1.0,2.0,2.0,189,2,60,1,0,strict,0,1,1,0,0,0,1,1,1
58,Centrum-Oost,2,Bed and breakfast,Private room,1.0,1.0,2.0,75,2,50,0,340,strict,1,0,1,0,0,0,1,1,1
59,Slotervaart,2,Bed and breakfast,Private room,1.0,1.0,2.0,40,2,0,1,340,strict,1,0,0,0,0,0,0,0,0
60,Zuid,2,Apartment,Entire home/apt,1.0,1.0,1.0,115,1,0,1,3,strict,1,1,1,0,0,0,1,1,0
61,Centrum-Oost,3,Apartment,Entire home/apt,1.0,1.0,3.0,150,2,45,0,0,moderate,1,1,0,0,0,0,1,1,1
62,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,2.0,100,2,0,1,4,moderate,1,1,1,0,0,0,1,1,0
63,De Baarsjes - Oud-West,4,Apartment,Entire home/apt,1.0,1.0,2.0,100,2,20,1,0,strict,0,1,1,0,0,0,0,1,1
64,De Pijp - Rivierenbuurt,4,Bed and breakfast,Private room,1.0,1.0,2.0,165,2,15,0,348,flexible,0,1,1,0,0,0,1,1,1
65,Centrum-West,2,Guest suite,Private room,1.0,1.0,1.0,94,1,0,0,62,moderate,1,0,1,0,0,0,1,1,0
66,De Baarsjes - Oud-West,2,Apartment,Private room,1.0,1.0,1.0,87,1,0,0,230,moderate,1,1,1,0,0,0,1,0,1
67,Bos en Lommer,4,Apartment,Entire home/apt,1.0,1.0,3.0,99,2,25,0,64,moderate,1,1,1,0,0,0,1,1,0
68,Oud-Oost,2,Other,Entire home/apt,1.0,1.0,1.0,100,2,10,0,0,strict,0,1,0,0,0,0,0,0,1
69,De Pijp - Rivierenbuurt,2,Apartment,Private room,1.0,1.0,1.0,80,1,0,0,0,strict,0,1,0,0,0,0,0,1,0
71,Oostelijk Havengebied - Indische Buurt,3,Apartment,Entire home/apt,1.0,2.0,2.0,98,2,22,1,18,strict,1,1,1,0,0,0,1,1,1
72,Gaasperdam - Driemond,4,Apartment,Private room,1.0,1.0,2.0,35,1,20,0,125,strict,1,1,1,0,0,0,1,1,1
73,De Baarsjes - Oud-West,2,Apartment,Private room,1.0,1.0,1.0,52,1,0,0,0,flexible,0,1,0,0,0,0,0,0,0
74,De Baarsjes - Oud-West,4,Apartment,Entire home/apt,1.0,1.0,2.0,100,2,24,1,89,strict,1,1,0,0,0,0,1,0,1
75,Bos en Lommer,2,Apartment,Private room,1.0,1.0,1.0,89,2,0,1,3,moderate,1,1,1,0,0,1,0,1,1
77,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,145,1,0,0,309,strict,0,1,1,0,0,0,1,1,1
