name,neighbourhood_cleansed,accommodates,property_type,room_type,bathrooms,bedrooms,beds,price,latitude,longitude
Quiet Garden View Room & Super Fast WiFi,Oostelijk Havengebied - Indische Buurt,2,Apartment,Private room,2.0,1.0,2.0,59,52.36575451387618,4.941419235184398
"Quiet apt near center, great view",Westerpark,5,Apartment,Entire home/apt,1.0,2.0,2.0,160,52.39022505041117,4.873924094742859
100%Centre-Studio 1 Private Floor/Bathroom,Centrum-Oost,2,Townhouse,Entire home/apt,1.0,1.0,1.0,80,52.36508702680917,4.8935410078410095
Lovely apt in City Centre (Jordaan),Centrum-West,3,Apartment,Entire home/apt,1.0,1.0,1.0,125,52.37311440038617,4.883668196205626
"Romantic, stylish B&B houseboat in canal district",Centrum-West,2,Houseboat,Private room,1.0,1.0,1.0,150,52.386727316124684,4.892078070089338
Cosy guest room near city centre -1,Bos en Lommer,2,Apartment,Private room,1.0,1.0,2.0,65,52.37534217754822,4.857289350245441
Comfortable double room,Centrum-West,2,Apartment,Private room,1.0,1.0,1.0,75,52.367186808186005,4.8909177971296565
Comfortable single room,Centrum-West,1,Apartment,Private room,1.0,1.0,1.0,55,52.367725410445736,4.891511737154662
2-story apartment + rooftop terrace,Zuid,4,Apartment,Entire home/apt,1.0,3.0,3.0,219,52.3513205418674,4.84838289937379
Amsterdam Center Entire Apartment,Centrum-West,2,Apartment,Entire home/apt,0.0,1.0,1.0,180,52.3789147700269,4.8832050564993645
Comfortable room@PERFECT location + 2 bikes,Centrum-West,2,Bed and breakfast,Private room,1.0,1.0,1.0,159,52.36781447589647,4.890012023439633
View into park / museum district (long/short stay),Zuid,2,Apartment,Entire home/apt,1.0,1.0,2.0,100,52.3574562838326,4.861242085387215
Luxury design with canal view,Centrum-West,3,Apartment,Entire home/apt,2.0,1.0,1.0,250,52.380711229831924,4.886104318098604
"Amsterdam Centre, 3-room Apartment",Centrum-Oost,4,Apartment,Entire home/apt,1.0,2.0,3.0,200,52.37016998640934,4.914377826765493
Cozy Flat in the Jordaan (center),Westerpark,2,Apartment,Entire home/apt,1.0,1.0,1.0,155,52.37767639657083,4.876178648987073
Cozy loft in central Amsterdam,De Pijp - Rivierenbuurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,150,52.35247025928299,4.908254440320653
Charming apartment in old centre,De Baarsjes - Oud-West,3,Apartment,Entire home/apt,1.0,2.0,2.0,140,52.36798609885809,4.874469331907506
Luxurous Houseboat-Great Location,De Baarsjes - Oud-West,4,Boat,Entire home/apt,1.0,2.0,2.0,225,52.362663786120464,4.861031740012395
"Family Home (No drugs, smoking or parties)",Bos en Lommer,6,Townhouse,Entire home/apt,1.0,3.0,3.0,120,52.37727239832183,4.839252562940868
Perfect central Amsterdam apartment,Westerpark,2,Apartment,Entire home/apt,1.0,1.0,1.0,125,52.38200613161477,4.878649621335048
B & B de 9 Straatjes (city center),Centrum-West,2,Bed and breakfast,Private room,1.0,1.0,2.0,115,52.36840789766318,4.884133704990546
Bright Apartment - residential area,Bos en Lommer,3,Apartment,Entire home/apt,1.0,1.0,3.0,90,52.377737441667115,4.848911991360075
Amsterdam Aqua,Oostelijk Havengebied - Indische Buurt,2,Apartment,Private room,2.0,1.0,1.0,72,52.370045892661075,4.9386912362462985
Green studio at the attic of a townhouse,De Pijp - Rivierenbuurt,2,Guest suite,Private room,1.0,1.0,1.0,87,52.35339266870349,4.900637642957301
Nice room near centre with en suite bath,Westerpark,2,Guest suite,Private room,1.0,1.0,1.0,75,52.389053371113825,4.885588535129939
Large quiet Studio with gardenview in hip area.,De Pijp - Rivierenbuurt,4,Guest suite,Private room,1.0,1.0,3.0,60,52.353483155689176,4.900490171525591
Luminous centric room,Centrum-Oost,2,Apartment,Private room,1.0,1.0,1.0,86,52.37125688886693,4.903513145133119
groundfloor apartment with patio,Bos en Lommer,4,Apartment,Entire home/apt,1.0,3.0,3.0,250,52.37560816034421,4.858187467526308
Bright Loft in Centre Amsterdam,Centrum-Oost,3,Loft,Entire home/apt,1.0,1.0,1.0,159,52.35895649627122,4.897259341005234
"Greatly located, cozy atmosphere",De Baarsjes - Oud-West,2,Apartment,Private room,1.0,1.0,1.0,60,52.36965708064435,4.8620254265502405
Apartment near Museumplein (centre),Zuid,4,Apartment,Entire home/apt,2.0,2.0,4.0,149,52.356132975812436,4.885149546738222
"86 m2, city centre & lovely view",Centrum-West,4,Apartment,Entire home/apt,1.0,2.0,4.0,112,52.38453334724865,4.892545431659382
Very Bright & Spacious Apt + 4 Bikes,Oostelijk Havengebied - Indische Buurt,4,Apartment,Entire home/apt,1.0,2.0,2.0,100,52.361929788889256,4.936400957199159
Still cosy X Mas availability!,De Baarsjes - Oud-West,3,Apartment,Entire home/apt,1.0,1.0,3.0,125,52.36448156797004,4.877220554469521
En Suite accommodation in a monumental canal house,Centrum-West,4,Guest suite,Private room,2.0,2.0,2.0,225,52.369164791657006,4.8844453447991505
"Charming, beautifully & sunny place",Oud-Oost,2,Apartment,Entire home/apt,1.0,1.0,1.0,109,52.364452721531094,4.931235930520656
